ano,idade,sexo,nascimento
2006,21 anos,Homem,22
2006,22 anos,Homem,14
2006,23 anos,Homem,12
2006,24 anos,Homem,17
2006,25 a 29 anos,Homem,70
2006,25 anos,Homem,10
2006,26 anos,Homem,14
2006,27 anos,Homem,15
2006,28 anos,Homem,18
2006,29 anos,Homem,13
2006,30 a 34 anos,Homem,28
2006,30 anos,Homem,7
2006,31 anos,Homem,5
2006,32 anos,Homem,5
2006,33 anos,Homem,7
2006,34 anos,Homem,4
2006,35 a 39 anos,Homem,20
2006,35 anos,Homem,4
2006,36 anos,Homem,4
2006,37 anos,Homem,7
2006,38 anos,Homem,4
2006,39 anos,Homem,1
2006,40 a 44 anos,Homem,2
2006,40 anos,Homem,1
2006,41 anos,Homem,
2006,42 anos,Homem,
2006,43 anos,Homem,
2006,44 anos,Homem,1
2006,45 a 49 anos,Homem,
2006,45 anos,Homem,
2006,46 anos,Homem,
2006,47 anos,Homem,
2006,48 anos,Homem,
2006,49 anos,Homem,
2006,50 anos ou mais,Homem,
2006,Ignorada,Homem,1
2006,Menos de 15 anos,Mulher,6
2006,15 a 19 anos,Mulher,83
2006,15 anos,Mulher,9
2006,16 anos,Mulher,11
2006,17 anos,Mulher,15
2006,18 anos,Mulher,22
2006,19 anos,Mulher,26
2006,20 a 24 anos,Mulher,85
2006,20 anos,Mulher,24
2006,21 anos,Mulher,14
2006,22 anos,Mulher,19
2006,23 anos,Mulher,13
2006,24 anos,Mulher,15
2006,25 a 29 anos,Mulher,55
2006,25 anos,Mulher,16
2006,26 anos,Mulher,8
2006,27 anos,Mulher,12
2006,28 anos,Mulher,13
2006,29 anos,Mulher,6
2006,30 a 34 anos,Mulher,31
2006,30 anos,Mulher,7
2006,31 anos,Mulher,5
2006,32 anos,Mulher,8
2006,33 anos,Mulher,5
2006,34 anos,Mulher,6
2006,35 a 39 anos,Mulher,12
2006,35 anos,Mulher,2
2006,36 anos,Mulher,4
2006,37 anos,Mulher,
2006,38 anos,Mulher,2
2006,39 anos,Mulher,4
2006,40 a 44 anos,Mulher,7
2006,40 anos,Mulher,2
2006,41 anos,Mulher,3
2006,42 anos,Mulher,
2006,43 anos,Mulher,1
2006,44 anos,Mulher,1
2006,45 a 49 anos,Mulher,
2006,45 anos,Mulher,
2006,46 anos,Mulher,
2006,47 anos,Mulher,
2006,48 anos,Mulher,
2006,49 anos,Mulher,
2006,50 anos ou mais,Mulher,
2006,Ignorada,Mulher,1
2007,Menos de 15 anos,Homem,4
2007,15 a 19 anos,Homem,93
2007,15 anos,Homem,7
2007,16 anos,Homem,21
2007,17 anos,Homem,23
2007,18 anos,Homem,15
2007,19 anos,Homem,27
2007,20 a 24 anos,Homem,104
2007,20 anos,Homem,27
2007,21 anos,Homem,26
2007,22 anos,Homem,15
2007,23 anos,Homem,19
2007,24 anos,Homem,17
2007,25 a 29 anos,Homem,68
2007,25 anos,Homem,16
2007,26 anos,Homem,8
2007,27 anos,Homem,16
2007,28 anos,Homem,17
2007,29 anos,Homem,11
2007,30 a 34 anos,Homem,27
2007,30 anos,Homem,8
2007,31 anos,Homem,5
2007,32 anos,Homem,2
2007,33 anos,Homem,5
2007,34 anos,Homem,7
2007,35 a 39 anos,Homem,12
2007,35 anos,Homem,3
2007,36 anos,Homem,1
2007,37 anos,Homem,2
2007,38 anos,Homem,5
2007,39 anos,Homem,1
2007,40 a 44 anos,Homem,11
2007,40 anos,Homem,4
2007,41 anos,Homem,1
2007,42 anos,Homem,2
2007,43 anos,Homem,3
2007,44 anos,Homem,1
2007,45 a 49 anos,Homem,3
2007,45 anos,Homem,3
2007,46 anos,Homem,
2007,47 anos,Homem,
2007,48 anos,Homem,
2007,49 anos,Homem,
2007,50 anos ou mais,Homem,
2007,Ignorada,Homem,
2007,Menos de 15 anos,Mulher,4
2007,15 a 19 anos,Mulher,84
2007,15 anos,Mulher,8
2007,16 anos,Mulher,10
2007,17 anos,Mulher,17
2007,18 anos,Mulher,27
2007,19 anos,Mulher,22
2007,20 a 24 anos,Mulher,102
2007,20 anos,Mulher,20
2007,21 anos,Mulher,22
2007,22 anos,Mulher,23
2007,23 anos,Mulher,23
2007,24 anos,Mulher,14
2007,25 a 29 anos,Mulher,66
2007,25 anos,Mulher,18
2007,26 anos,Mulher,14
2007,27 anos,Mulher,15
2007,28 anos,Mulher,11
2007,29 anos,Mulher,8
2007,30 a 34 anos,Mulher,31
2007,30 anos,Mulher,8
2007,31 anos,Mulher,5
2007,32 anos,Mulher,8
2007,33 anos,Mulher,3
2007,34 anos,Mulher,7
2007,35 a 39 anos,Mulher,15
2007,35 anos,Mulher,3
2007,36 anos,Mulher,5
2007,37 anos,Mulher,2
2007,38 anos,Mulher,3
2007,39 anos,Mulher,2
2007,40 a 44 anos,Mulher,3
2007,40 anos,Mulher,
2007,41 anos,Mulher,
2007,42 anos,Mulher,2
2007,43 anos,Mulher,1
2007,44 anos,Mulher,
2007,45 a 49 anos,Mulher,
2007,45 anos,Mulher,
2007,46 anos,Mulher,
2007,47 anos,Mulher,
2007,48 anos,Mulher,
2007,49 anos,Mulher,
2007,50 anos ou mais,Mulher,
2007,Ignorada,Mulher,
2008,Menos de 15 anos,Homem,2
2008,15 a 19 anos,Homem,66
2008,15 anos,Homem,6
2008,16 anos,Homem,13
2008,17 anos,Homem,11
2008,18 anos,Homem,20
2008,19 anos,Homem,16
2008,20 a 24 anos,Homem,102
2008,20 anos,Homem,23
2008,21 anos,Homem,26
2008,22 anos,Homem,16
2008,23 anos,Homem,21
2008,24 anos,Homem,16
2008,25 a 29 anos,Homem,67
2008,25 anos,Homem,20
2008,26 anos,Homem,9
2008,27 anos,Homem,10
2008,28 anos,Homem,12
2008,29 anos,Homem,16
2008,30 a 34 anos,Homem,33
2008,30 anos,Homem,4
2008,31 anos,Homem,10
2008,32 anos,Homem,8
2008,33 anos,Homem,6
2008,34 anos,Homem,5
2008,35 a 39 anos,Homem,10
2008,35 anos,Homem,1
2008,36 anos,Homem,6
2008,37 anos,Homem,2
2008,38 anos,Homem,
2008,39 anos,Homem,1
2008,40 a 44 anos,Homem,8
2008,40 anos,Homem,2
2008,41 anos,Homem,2
2008,42 anos,Homem,2
2008,43 anos,Homem,1
2008,44 anos,Homem,1
2008,45 a 49 anos,Homem,1
2008,45 anos,Homem,
2008,46 anos,Homem,
2008,47 anos,Homem,1
2008,48 anos,Homem,
2008,49 anos,Homem,
2008,50 anos ou mais,Homem,1
2008,Ignorada,Homem,
2008,Menos de 15 anos,Mulher,3
2008,15 a 19 anos,Mulher,50
2008,15 anos,Mulher,4
2008,16 anos,Mulher,10
2008,17 anos,Mulher,10
2008,18 anos,Mulher,14
2008,19 anos,Mulher,12
2008,20 a 24 anos,Mulher,93
2008,20 anos,Mulher,18
2008,21 anos,Mulher,17
2008,22 anos,Mulher,21
2008,23 anos,Mulher,26
2008,24 anos,Mulher,11
2008,25 a 29 anos,Mulher,62
2008,25 anos,Mulher,15
2008,26 anos,Mulher,11
2008,27 anos,Mulher,14
2008,28 anos,Mulher,14
2008,29 anos,Mulher,8
2008,30 a 34 anos,Mulher,36
2008,30 anos,Mulher,7
2008,31 anos,Mulher,13
2008,32 anos,Mulher,7
2008,33 anos,Mulher,6
2008,34 anos,Mulher,3
2008,35 a 39 anos,Mulher,18
2008,35 anos,Mulher,4
2008,36 anos,Mulher,3
2008,37 anos,Mulher,6
2008,38 anos,Mulher,3
2008,39 anos,Mulher,2
2008,40 a 44 anos,Mulher,14
2008,40 anos,Mulher,5
2008,41 anos,Mulher,2
2008,42 anos,Mulher,2
2008,43 anos,Mulher,2
2008,44 anos,Mulher,3
2008,45 a 49 anos,Mulher,1
2008,45 anos,Mulher,
2008,46 anos,Mulher,1
2008,47 anos,Mulher,
2008,48 anos,Mulher,
2008,49 anos,Mulher,
2008,50 anos ou mais,Mulher,
2008,Ignorada,Mulher,
2009,Menos de 15 anos,Homem,3
2009,15 a 19 anos,Homem,74
2009,15 anos,Homem,6
2009,16 anos,Homem,9
2009,17 anos,Homem,10
2009,18 anos,Homem,27
2009,19 anos,Homem,22
2009,20 a 24 anos,Homem,74
2009,20 anos,Homem,15
2009,21 anos,Homem,19
2009,22 anos,Homem,14
2009,23 anos,Homem,17
2009,24 anos,Homem,9
2009,25 a 29 anos,Homem,62
2009,25 anos,Homem,14
2009,26 anos,Homem,21
2009,27 anos,Homem,8
2009,28 anos,Homem,8
2009,29 anos,Homem,11
2009,30 a 34 anos,Homem,30
2009,30 anos,Homem,6
2009,31 anos,Homem,7
2009,32 anos,Homem,6
2009,33 anos,Homem,6
2009,34 anos,Homem,5
2009,35 a 39 anos,Homem,13
2009,35 anos,Homem,1
2009,36 anos,Homem,6
2009,37 anos,Homem,3
2009,38 anos,Homem,2
2009,39 anos,Homem,1
2009,40 a 44 anos,Homem,5
2009,40 anos,Homem,2
2009,41 anos,Homem,1
2009,42 anos,Homem,1
2009,43 anos,Homem,1
2009,44 anos,Homem,
2009,45 a 49 anos,Homem,
2009,45 anos,Homem,
2009,46 anos,Homem,
