ano,idade,sexo,total
2005,9 meses,Homem,
2005,10 meses,Homem,1
2005,11 meses,Homem,
2005,1 a 14 anos,Homem,2
2005,1 a 4 anos,Homem,2
2005,1 ano,Homem,1
2005,2 anos,Homem,
2005,3 anos,Homem,1
2005,4 anos,Homem,
2005,5 a 9 anos,Homem,
2005,5 anos,Homem,
2005,6 anos,Homem,
2005,7 anos,Homem,
2005,8 anos,Homem,
2005,9 anos,Homem,
2005,10 a 14 anos,Homem,
2005,10 anos,Homem,
2005,11 anos,Homem,
2005,12 anos,Homem,
2005,13 anos,Homem,
2005,14 anos,Homem,
2005,15 a 84 anos,Homem,61
2005,15 a 19 anos,Homem,2
2005,20 a 24 anos,Homem,5
2005,25 a 29 anos,Homem,4
2005,30 a 34 anos,Homem,1
2005,35 a 39 anos,Homem,2
2005,40 a 44 anos,Homem,5
2005,45 a 49 anos,Homem,3
2005,50 a 54 anos,Homem,3
2005,55 a 59 anos,Homem,6
2005,60 a 64 anos,Homem,8
2005,65 a 69 anos,Homem,6
2005,70 a 74 anos,Homem,3
2005,75 a 79 anos,Homem,6
2005,80 a 84 anos,Homem,7
2005,85 anos ou mais,Homem,11
2005,85 a 89 anos,Homem,5
2005,85 anos,Homem,1
2005,86 anos,Homem,
2005,87 anos,Homem,4
2005,88 anos,Homem,
2005,89 anos,Homem,
2005,90 a 94 anos,Homem,6
2005,90 anos,Homem,4
2005,91 anos,Homem,
2005,92 anos,Homem,
2005,93 anos,Homem,1
2005,94 anos,Homem,1
2005,95 a 99 anos,Homem,
2005,95 anos,Homem,
2005,96 anos,Homem,
2005,97 anos,Homem,
2005,98 anos,Homem,
2005,99 anos,Homem,
2005,100 anos ou mais,Homem,
2005,Idade ignorada,Homem,
2005,Menos de 1 ano,Mulher,3
2005,Menos de 7 dias,Mulher,1
2005,Menos de 1 dia,Mulher,
2005,1 dia,Mulher,
2005,2 dias,Mulher,1
2005,3 dias,Mulher,
2005,4 dias,Mulher,
2005,5 dias,Mulher,
2005,6 dias,Mulher,
