ano,idade,sexo,area,pop
1980,55 a 59 anos,Homem,Urbana,116
1980,60 a 64 anos,Homem,Urbana,62
1980,65 a 69 anos,Homem,Urbana,91
1980,70 a 74 anos,Homem,Urbana,57
1980,75 a 79 anos,Homem,Urbana,48
1980,80 anos ou mais,Homem,Urbana,24
1980,80 a 84 anos,Homem,Urbana,
1980,85 a 89 anos,Homem,Urbana,
1980,90 a 94 anos,Homem,Urbana,
1980,95 a 99 anos,Homem,Urbana,
1980,100 anos ou mais,Homem,Urbana,
1980,Idade ignorada,Homem,Urbana,9
1980,0 a 4 anos,Homem,Rural,1182
1980,Menos de 1 ano,Homem,Rural,
1980,0 ano,Homem,Rural,256
1980,1 ano,Homem,Rural,243
1980,2 anos,Homem,Rural,257
1980,3 anos,Homem,Rural,223
1980,4 anos,Homem,Rural,203
1980,5 a 9 anos,Homem,Rural,958
1980,5 anos,Homem,Rural,233
1980,6 anos,Homem,Rural,174
1980,7 anos,Homem,Rural,218
1980,8 anos,Homem,Rural,175
1980,9 anos,Homem,Rural,158
1980,10 a 14 anos,Homem,Rural,805
1980,10 anos,Homem,Rural,189
1980,11 anos,Homem,Rural,178
1980,12 anos,Homem,Rural,176
1980,13 anos,Homem,Rural,140
1980,14 anos,Homem,Rural,122
1980,15 a 19 anos,Homem,Rural,685
1980,15 anos,Homem,Rural,116
1980,16 anos,Homem,Rural,169
1980,17 anos,Homem,Rural,159
1980,18 anos,Homem,Rural,138
1980,19 anos,Homem,Rural,103
1980,20 a 24 anos,Homem,Rural,457
1980,20 anos,Homem,Rural,
1980,21 anos,Homem,Rural,
1980,22 anos,Homem,Rural,
1980,23 anos,Homem,Rural,
1980,24 anos,Homem,Rural,
1980,25 a 29 anos,Homem,Rural,379
1980,30 a 34 anos,Homem,Rural,292
1980,35 a 39 anos,Homem,Rural,279
1980,40 a 44 anos,Homem,Rural,248
1980,45 a 49 anos,Homem,Rural,205
1980,50 a 54 anos,Homem,Rural,189
1980,55 a 59 anos,Homem,Rural,134
1980,60 a 64 anos,Homem,Rural,151
1980,65 a 69 anos,Homem,Rural,197
1980,70 a 74 anos,Homem,Rural,113
1980,75 a 79 anos,Homem,Rural,72
1980,80 anos ou mais,Homem,Rural,75
1980,80 a 84 anos,Homem,Rural,
1980,85 a 89 anos,Homem,Rural,
1980,90 a 94 anos,Homem,Rural,
1980,95 a 99 anos,Homem,Rural,
1980,100 anos ou mais,Homem,Rural,
1980,Idade ignorada,Homem,Rural,18
1980,0 a 4 anos,Mulher,Urbana,877
1980,Menos de 1 ano,Mulher,Urbana,
1980,0 ano,Mulher,Urbana,173
1980,1 ano,Mulher,Urbana,161
1980,2 anos,Mulher,Urbana,210
1980,3 anos,Mulher,Urbana,147
1980,4 anos,Mulher,Urbana,186
1980,5 a 9 anos,Mulher,Urbana,730
1980,5 anos,Mulher,Urbana,146
1980,6 anos,Mulher,Urbana,134
1980,7 anos,Mulher,Urbana,154
1980,8 anos,Mulher,Urbana,134
1980,9 anos,Mulher,Urbana,162
1980,10 a 14 anos,Mulher,Urbana,693
1980,10 anos,Mulher,Urbana,158
1980,11 anos,Mulher,Urbana,138
1980,12 anos,Mulher,Urbana,132
1980,13 anos,Mulher,Urbana,133
1980,14 anos,Mulher,Urbana,132
1980,15 a 19 anos,Mulher,Urbana,528
1980,15 anos,Mulher,Urbana,101
1980,16 anos,Mulher,Urbana,151
1980,17 anos,Mulher,Urbana,121
1980,18 anos,Mulher,Urbana,69
1980,19 anos,Mulher,Urbana,86
1980,20 a 24 anos,Mulher,Urbana,362
1980,20 anos,Mulher,Urbana,
1980,21 anos,Mulher,Urbana,
1980,22 anos,Mulher,Urbana,
1980,23 anos,Mulher,Urbana,
1980,24 anos,Mulher,Urbana,
1980,25 a 29 anos,Mulher,Urbana,309
